MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,Foundation,Heating,CentralAir,Electrical,GarageType,PavedDrive,MiscFeature,SaleType,SaleCondition,BldgType,BsmtFinType1,BsmtFinType2,GarageFinish,Functional,Fence
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,TwnhsE,GLQ,Unf,RFn,Typ,None
RM,Pave,None,IR1,Bnk,AllPub,Inside,Gtl,OldTown,RRAn,Feedr,2Story,Gable,CompShg,Stucco,Stucco,None,BrkTil,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,1Fam,Unf,Unf,Unf,Typ,GdPrv
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,1Fam,GLQ,Unf,RFn,Typ,GdPrv
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,BuiltIn,Y,None,WD,Normal,1Fam,Unf,Unf,RFn,Typ,None
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosA,Norm,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,1Fam,GLQ,Unf,RFn,Min1,None
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,1Fam,GLQ,Unf,RFn,Typ,None
RM,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Story,Gable,CompShg,MetalSd,MetalSd,None,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,1Fam,Unf,Unf,Unf,Typ,None
RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,ClearCr,Norm,Norm,1.5Fin,Gable,CompShg,BrkFace,AsbShng,None,CBlock,GasW,Y,SBrkr,Attchd,Y,None,WD,Normal,1Fam,BLQ,Unf,Fin,Typ,None
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,1Fam,ALQ,Unf,Fin,Typ,None
RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Story,Gable,CompShg,HdBoard,Plywood,None,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,1Fam,ALQ,Unf,Unf,Typ,None
RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,1Fam,Unf,Unf,Fin,Typ,None
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,1Fam,ALQ,BLQ,Unf,Typ,GdWo
RM,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,2Story,Gambrel,CompShg,VinylSd,VinylSd,None,CBlock,GasA,N,SBrkr,Detchd,Y,None,WD,Normal,1Fam,Unf,Unf,Unf,Typ,None
RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,SLvl,Gable,CompShg,CemntBd,CmentBd,None,CBlock,GasA,Y,SBrkr,BuiltIn,Y,None,WD,Normal,Twnhs,GLQ,Unf,Unf,Typ,GdWo
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Story,Gable,CompShg,VinylSd,VinylSd,None,CBlock,GasA,Y,FuseA,Detchd,Y,None,WD,Normal,1Fam,ALQ,Unf,Unf,Typ,None
RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,None,CBlock,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,1Fam,BLQ,GLQ,Unf,Min1,MnPrv
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Story,Hip,CompShg,HdBoard,HdBoard,None,CBlock,GasA,N,SBrkr,None,Y,None,WD,Normal,Duplex,Unf,Unf,None,Typ,None
RM,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,PConc,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,1Fam,Unf,Unf,Unf,Typ,MnPrv
RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,1Fam,Rec,Unf,Fin,Typ,None
RM,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,TwnhsE,GLQ,Unf,Fin,Typ,None
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,1Fam,GLQ,Unf,RFn,Typ,None
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Story,Gable,CompShg,MetalSd,MetalSd,BrkCmn,CBlock,GasA,Y,SBrkr,Detchd,Y,None,COD,Normal,1Fam,Unf,Unf,Unf,Typ,None
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,SLvl,Gable,CompShg,HdBoard,HdBoard,BrkFace,PConc,GasA,Y,SBrkr,BuiltIn,Y,Shed,WD,Normal,1Fam,Unf,Unf,Fin,Typ,None
RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NoRidge,Norm,Norm,2Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,1Fam,Unf,Unf,Unf,Typ,None
RL,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,BuiltIn,Y,None,WD,Normal,1Fam,Unf,Unf,Fin,Typ,None
FV,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,2Story,Gable,CompShg,VinylSd,VinylSd,Stone,PConc,GasA,Y,SBrkr,Detchd,Y,None,New,Partial,TwnhsE,Unf,Unf,RFn,Typ,None
C (all),Pave,None,IR1,Lvl,AllPub,Corner,Gtl,IDOTRR,Feedr,Feedr,1.5Fin,Hip,CompShg,Plywood,Plywood,None,CBlock,GasA,N,SBrkr,None,N,None,ConLD,Abnorml,1Fam,Unf,Unf,None,Typ,MnPrv
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,None,Y,None,WD,Normal,1Fam,GLQ,Unf,None,Typ,None
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Story,Gable,CompShg,BrkFace,Wd Sdng,None,Slab,GasA,Y,FuseA,Detchd,Y,None,WD,Normal,1Fam,None,None,Unf,Typ,None
RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Story,Hip,CompShg,HdBoard,HdBoard,BrkCmn,CBlock,GasA,Y,SBrkr,Attchd,Y,None,WD,Abnorml,1Fam,Rec,Unf,Unf,Typ,GdWo
RL,Pave,Grvl,IR1,HLS,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,Y,SBrkr,Detchd,Y,None,WD,Normal,1Fam,ALQ,Unf,Unf,Typ,None
C (all),Pave,None,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,2.5Unf,Hip,CompShg,MetalSd,MetalSd,None,BrkTil,GasW,N,SBrkr,Detchd,Y,None,WD,Normal,2fmCon,Rec,Unf,Unf,Typ,None
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,2Story,Gable,CompShg,VinylSd,VinylSd,None,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,1Fam,GLQ,Unf,RFn,Typ,None
RL,Pave,None,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,BuiltIn,Y,Shed,WD,Normal,1Fam,ALQ,Unf,Fin,Typ,None
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,1Fam,ALQ,Unf,RFn,Typ,None
RL,Pave,None,Reg,HLS,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Story,Hip,CompShg,HdBoard,HdBoard,BrkFace,CBlock,GasA,Y,FuseF,Attchd,P,None,WD,Normal,1Fam,Rec,Unf,Fin,Typ,None
RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,BrkTil,GasA,N,SBrkr,Basment,Y,Shed,COD,Abnorml,1Fam,ALQ,Unf,Unf,Typ,None
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Story,Gable,CompShg,Plywood,Plywood,None,CBlock,GasA,Y,SBrkr,None,Y,Shed,WD,Normal,1Fam,ALQ,Unf,None,Typ,None
RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,PConc,GasA,Y,SBrkr,Attchd,Y,None,WD,Normal,1Fam,ALQ,Unf,RFn,Typ,None
